PM2.5,PM10,NO2,SO2,CO,O3,AQI
50.28,101.96,32.34,3.12,0.52,71.56,101.63785234899328
42.34,92.52,28.63,3.25,0.44,68.56,92.52
51.73,104.18,25.08,3.22,0.49,71.91,103.11288590604028
57.03,109.44,24.7,3.73,0.48,61.49,106.60778523489932
48.73,100.69,28.18,2.87,0.5,52.16,80.95758620689655
55.14,112.6,31.44,1.85,0.57,56.75,108.70738255033557
69.44,130.77,29.35,2.23,0.59,62.63,129.81241379310345
69.05,131.78,31.74,2.99,0.65,53.17,128.48103448275862
56.6,127.83,39.59,4.95,0.64,45.38,118.82664429530202
50.56,129.03,44.61,4.88,0.67,37.03,119.62395973154362
48.52,126.7,53.77,4.89,0.76,49.27,118.0758389261745
41.83,107.85,54.31,4.55,0.5,67.91,105.55134228187919
44.74,122.97,61.33,2.87,0.58,65.63,115.59751677852348
66.68,156.88,64.85,8.51,0.69,63.4,138.128322147651
48.67,133.18,41.37,10.61,0.47,78.11,122.3813422818792
64.1,149.46,70.3,6.79,0.86,78.3,133.19825503355705
57.24,137.05,55.47,3.53,0.63,92.22,124.9526845637584
48.97,110.58,47.98,2.48,0.54,78.41,107.36523489932885
44.58,93.65,44.49,2.47,0.52,77.12,93.65
46.66,104.04,52.55,2.91,0.56,62.49,103.01986577181208
40.05,92.24,45.39,2.07,0.47,69.99,92.24
43.44,100.58,44.03,3.04,0.51,70.67,72.01931034482759
46.71,109.32,38.73,3.83,0.46,79.27,106.52805369127516
43.75,104.25,38.51,4.1,0.45,82.08,103.15939597315436
48.67,104.84,31.86,3.01,0.42,85.95,103.55140939597315
52.75,95.61,36.16,4.18,0.51,61.59,95.61
49.2,99.06,37.55,3.96,0.52,58.95,99.06
29.41,66.08,28.21,1.82,0.42,52.89,66.08
48.3,103.79,41.41,3.53,0.76,42.94,102.85375838926176
59.64,135.69,42.19,4.37,0.78,54.11,124.04906040268456
59.71,136.77,52.54,7.15,0.88,50.37,124.76664429530203
49.85,120.86,43.25,5.44,0.67,60.31,114.19557046979865
48.84,124.6,37.68,5.67,0.64,64.68,116.68053691275168
54.06,135.43,37.58,13.25,0.73,66.45,123.87630872483223
51.99,132.62,41.98,6.5,0.75,52.2,122.00926174496645
44.84,117.88,26.48,3.9,0.54,66.47,112.21557046979865
40.0,105.27,23.45,3.37,0.59,61.67,103.83711409395973
50.18,137.11,23.72,7.31,0.68,55.2,124.99255033557048
46.51,125.27,26.3,6.16,0.72,58.07,117.12570469798658
38.47,102.72,16.27,3.97,0.5,72.32,102.14281879194631
38.19,99.79,29.83,3.31,0.55,62.6,99.79
44.93,113.49,42.71,1.98,0.65,76.13,109.29872483221476
41.7,111.27,36.07,2.13,0.51,75.05,107.82369127516779
36.19,90.87,32.92,3.08,0.49,63.21,90.87
31.1,91.32,39.72,1.75,0.53,38.2,91.32
22.77,83.51,40.42,1.26,0.53,13.86,83.51
26.65,85.84,37.47,1.56,0.49,40.63,85.84
17.8,72.28,35.64,2.31,0.4,37.08,72.28
25.19,74.04,39.35,2.31,0.55,46.85,74.04
35.73,87.11,40.78,2.38,0.58,54.57,87.11
39.93,95.2,38.51,1.39,0.59,61.43,95.2
53.16,117.86,37.53,1.42,0.65,59.47,112.20228187919463
43.01,109.5,29.14,1.33,0.5,64.81,106.64765100671141
39.59,113.3,35.14,2.08,0.52,63.75,109.17248322147651
39.04,105.94,36.16,1.89,0.53,60.39,104.28228187919463
44.94,119.67,36.17,2.75,0.55,72.0,113.40489932885906
71.57,154.41,42.86,4.34,0.85,70.27,137.08379310344824
59.75,154.33,32.44,2.87,0.66,71.56,136.4340268456376
63.66,135.39,32.35,5.33,0.74,85.56,123.84973154362416
67.21,158.17,52.1,5.52,0.8,59.16,138.98543624161073
68.64,149.9,45.12,2.19,0.88,65.36,133.49060402684563
69.64,162.3,48.35,7.51,0.84,64.79,141.7295302013423
63.26,146.27,33.52,2.39,0.62,68.44,131.0787248322148
60.26,139.17,30.31,2.19,0.6,73.57,126.36127516778522
58.3,141.7,29.27,6.21,0.52,76.23,128.04228187919463
46.71,144.16,44.39,9.42,0.63,53.99,129.67677852348993
49.38,162.15,38.62,3.18,0.53,49.13,141.6298657718121
56.54,176.28,43.48,4.13,0.54,50.12,151.01825503355707
53.38,165.5,40.69,3.5,0.53,72.16,143.8557046979866
66.0,169.7,44.15,3.96,0.82,62.5,146.6463087248322
59.63,159.83,43.08,3.5,0.85,48.16,140.08838926174496
48.41,131.06,37.71,2.84,0.64,59.25,120.97275167785236
44.57,126.02,35.52,2.73,0.51,59.94,117.62402684563759
46.59,133.03,40.87,4.01,0.62,56.24,122.28167785234899
46.28,136.66,45.84,4.63,0.6,52.49,124.69355704697986
35.71,111.14,33.9,3.62,0.46,59.43,107.73731543624162
22.01,63.42,33.26,1.29,0.44,44.82,63.42
29.8,89.76,41.46,2.35,0.55,46.13,89.76
28.53,77.62,33.51,2.25,0.43,50.87,77.62
20.59,52.97,35.27,2.83,0.45,60.52,60.52
26.94,67.34,38.65,3.64,0.45,59.53,67.34
34.14,87.25,50.17,1.88,0.61,53.26,87.25
36.77,91.74,41.6,2.91,0.51,60.22,91.74
40.63,107.99,40.81,2.83,0.46,54.87,105.64436241610738
42.48,104.24,40.18,3.98,0.5,71.93,103.15275167785235
38.69,91.36,34.49,2.56,0.45,52.61,91.36
37.01,84.03,32.24,2.0,0.46,58.17,84.03
27.23,68.95,29.27,1.6,0.36,59.86,68.95
35.54,84.01,34.83,2.92,0.46,66.19,84.01
41.6,101.5,30.88,3.2,0.46,72.66,101.33221476510067
28.29,78.36,30.24,3.33,0.34,73.21,78.36
28.17,81.83,31.51,3.74,0.38,83.76,83.76
26.05,74.84,35.7,3.54,0.35,68.9,74.84
37.64,100.06,37.01,3.42,0.43,69.75,69.75
28.78,81.77,28.85,1.94,0.32,75.44,81.77
37.3,97.01,32.7,2.72,0.38,62.19,97.01
23.88,65.29,29.8,2.4,0.42,50.52,65.29
20.56,58.03,32.08,4.28,0.4,41.07,58.03
24.78,67.96,39.43,2.79,0.53,30.68,67.96
