country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-01-2026 09:00:00",23.020509,72.579261,CO,13,46,27
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-01-2026 09:00:00",23.020509,72.579261,OZONE,2,69,11
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","27-01-2026 09:00:00",23.016834,72.625775,PM2.5,71,277,204
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","27-01-2026 09:00:00",23.016834,72.625775,NH3,5,13,9
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","27-01-2026 09:00:00",23.041137,72.456691,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","27-01-2026 09:00:00",23.041137,72.456691,SO2,1,25,7
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","27-01-2026 09:00:00",23.023389,72.515201,PM2.5,83,200,136
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","27-01-2026 09:00:00",23.023389,72.515201,NH3,4,11,8
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","27-01-2026 09:00:00",28.498571,77.264840,SO2,7,28,13
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","27-01-2026 09:00:00",28.498571,77.264840,CO,3,113,20
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","27-01-2026 09:00:00",28.5710274,77.0719006,PM10,129,499,258
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","27-01-2026 09:00:00",28.5710274,77.0719006,CO,11,153,68
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","27-01-2026 09:00:00",28.6811736,77.3025234,NO2,46,116,77
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","27-01-2026 09:00:00",28.6811736,77.3025234,OZONE,20,65,21
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","27-01-2026 09:00:00",28.542460,77.191651,PM2.5,80,362,250
India,Delhi,Delhi,"ITO, Delhi - CPCB","27-01-2026 09:00:00",28.628624,77.241060,CO,28,122,108
